file,category,gt_class,n,u,tag
images/raw/carcass_s/carcass_s_011.jpg,carcass_s,task,1,3,
images/raw/carcass_s/carcass_s_012.jpg,carcass_s,task,1,3,
images/raw/carcass_s/carcass_s_013.jpg,carcass_s,task,1,3,
images/raw/carcass_s/carcass_s_014.jpg,carcass_s,task,1,3,
images/raw/carcass_s/carcass_s_015.jpg,carcass_s,task,1,3,
images/raw/carcass_s/carcass_s_019.jpg,carcass_s,task,1,3,
images/raw/carcass_s/carcass_s_020.jpg,carcass_s,task,1,3,
images/raw/carcass_s/carcass_s_021.jpg,carcass_s,task,1,3,
images/raw/carcass_s/carcass_s_023.jpg,carcass_s,task,1,3,
images/raw/carcass_s/carcass_s_024.jpg,carcass_s,task,1,3,
images/raw/carcass_s/carcass_s_025.jpg,carcass_s,task,1,3,
images/raw/carcass_s/carcass_s_027.jpg,carcass_s,task,1,3,
images/raw/carcass_s/carcass_s_028.jpg,carcass_s,task,1,3,
images/raw/carcass_s/carcass_s_029.jpg,carcass_s,task,1,3,
images/raw/carcass_s/carcass_s_L017.jpg,carcass_s,task,1,3,
images/raw/carcass_s/carcass_s_L022.jpg,carcass_s,task,1,3,
images/raw/carcass_l/carcass_l_018.jpg,carcass_l,task,2,3,
images/raw/carcass_l/carcass_l_ov203.jpg,carcass_l,task,2,3,
images/raw/carcass_l/carcass_l_ov204.jpg,carcass_l,task,2,3,
images/raw/bulky/bulky_008.jpg,bulky,task,2,2,
images/raw/bulky/bulky_012.jpg,bulky,task,2,2,
images/raw/bulky/bulky_013.jpg,bulky,task,2,2,
images/raw/bulky/bulky_014.jpg,bulky,task,2,2,
images/raw/bulky/bulky_015.jpg,bulky,task,2,2,
images/raw/bulky/bulky_016.jpg,bulky,task,2,2,
images/raw/bulky/bulky_017.jpg,bulky,task,2,2,
images/raw/bulky/bulky_018.jpg,bulky,task,2,2,
images/raw/bulky/bulky_020.jpg,bulky,task,2,2,
images/raw/bulky/bulky_021.jpg,bulky,task,2,2,
images/raw/bulky/bulky_022.jpg,bulky,task,2,2,
images/raw/bulky/bulky_023.jpg,bulky,task,2,2,
images/raw/bulky/bulky_024.jpg,bulky,task,2,2,
images/raw/bulky/bulky_027.jpg,bulky,task,2,2,
images/raw/bulky/bulky_mv030.jpg,bulky,task,2,2,
images/raw/bulky/bulky_mv031.jpg,bulky,task,2,2,
images/raw/obstacle/obstacle_000.jpg,obstacle,task,3,4,
images/raw/obstacle/obstacle_002.jpg,obstacle,task,3,4,
images/raw/obstacle/obstacle_005.jpg,obstacle,task,3,4,
images/raw/obstacle/obstacle_006.jpg,obstacle,task,3,4,
images/raw/obstacle/obstacle_007.jpg,obstacle,task,3,4,
images/raw/obstacle/obstacle_009.jpg,obstacle,task,3,4,
images/raw/obstacle/obstacle_011.jpg,ambiguous,nontask,0,0,
images/raw/obstacle/obstacle_012.jpg,obstacle,task,3,4,
images/raw/obstacle/obstacle_016.jpg,obstacle,task,3,4,
images/raw/obstacle/obstacle_017.jpg,obstacle,task,3,4,
images/raw/obstacle/obstacle_018.jpg,ambiguous,nontask,0,0,
images/raw/obstacle/obstacle_019.jpg,obstacle,task,3,4,
images/raw/obstacle/obstacle_020.jpg,obstacle,task,3,4,
images/raw/obstacle/obstacle_021.jpg,obstacle,task,3,4,
images/raw/obstacle/obstacle_023.jpg,obstacle,task,3,4,
images/raw/obstacle/obstacle_025.jpg,obstacle,task,3,4,
images/raw/obstacle/obstacle_mv030.jpg,ambiguous,nontask,0,0,
images/raw/obstacle/obstacle_mv031.jpg,obstacle,task,3,4,
images/raw/obstacle/obstacle_xov204.jpg,obstacle,task,3,4,
images/raw/normal/normal_000.jpg,normal,nontask,0,0,
images/raw/normal/normal_001.jpg,normal,nontask,0,0,
images/raw/normal/normal_002.jpg,normal,nontask,0,0,
images/raw/normal/normal_003.jpg,normal,nontask,0,0,
images/raw/normal/normal_004.jpg,normal,nontask,0,0,
images/raw/normal/normal_005.jpg,normal,nontask,0,0,
images/raw/normal/normal_006.jpg,normal,nontask,0,0,
images/raw/normal/normal_007.jpg,normal,nontask,0,0,
images/raw/normal/normal_008.jpg,normal,nontask,0,0,
images/raw/normal/normal_009.jpg,normal,nontask,0,0,
images/raw/normal/normal_010.jpg,normal,nontask,0,0,
images/raw/normal/normal_011.jpg,normal,nontask,0,0,
images/raw/normal/normal_013.jpg,normal,nontask,0,0,
images/raw/normal/normal_014.jpg,normal,nontask,0,0,
images/raw/normal/normal_015.jpg,normal,nontask,0,0,
images/raw/normal/normal_020.jpg,normal,nontask,0,0,
images/raw/normal/normal_021.jpg,normal,nontask,0,0,
images/raw/normal/normal_022.jpg,normal,nontask,0,0,
images/raw/normal/normal_023.jpg,normal,nontask,0,0,
images/raw/normal/normal_mv036.jpg,normal,nontask,0,0,
images/raw/normal/normal_mv037.jpg,normal,nontask,0,0,
images/raw/normal/normal_mv038.jpg,normal,nontask,0,0,
images/raw/normal/normal_mv039.jpg,normal,nontask,0,0,
images/raw/normal/normal_mv040.jpg,normal,nontask,0,0,
images/raw/normal/normal_mv041.jpg,normal,nontask,0,0,
images/raw/normal/normal_mv042.jpg,normal,nontask,0,0,
images/raw/normal/normal_mv043.jpg,normal,nontask,0,0,
images/raw/normal/normal_mv044.jpg,normal,nontask,0,0,
images/raw/normal/normal_mv045.jpg,normal,nontask,0,0,
images/raw/normal/normal_mv046.jpg,normal,nontask,0,0,
images/raw/normal/normal_mv047.jpg,normal,nontask,0,0,
images/raw/normal/normal_mv048.jpg,normal,nontask,0,0,
images/raw/normal/normal_mv049.jpg,normal,nontask,0,0,
images/raw/normal/normal_mv050.jpg,normal,nontask,0,0,
images/raw/normal/normal_mv051.jpg,normal,nontask,0,0,
images/raw/ambiguous/ambiguous_000.jpg,ambiguous,nontask,0,0,
images/raw/ambiguous/ambiguous_001.jpg,ambiguous,nontask,0,0,
images/raw/ambiguous/ambiguous_002.jpg,ambiguous,nontask,0,0,
images/raw/ambiguous/ambiguous_003.jpg,ambiguous,nontask,0,0,
images/raw/ambiguous/ambiguous_005.jpg,ambiguous,nontask,0,0,
images/raw/ambiguous/ambiguous_006.jpg,ambiguous,nontask,0,0,
images/raw/ambiguous/ambiguous_007.jpg,ambiguous,nontask,0,0,
images/raw/ambiguous/ambiguous_011.jpg,ambiguous,nontask,0,0,
images/raw/ambiguous/ambiguous_013.jpg,ambiguous,nontask,0,0,
images/raw/ambiguous/ambiguous_018.jpg,ambiguous,nontask,0,0,
images/raw/ambiguous/ambiguous_019.jpg,ambiguous,nontask,0,0,
images/raw/ambiguous/ambiguous_021.jpg,ambiguous,nontask,0,0,
images/raw/ambiguous/ambiguous_022.jpg,ambiguous,nontask,0,0,
images/raw/ambiguous/ambiguous_023.jpg,ambiguous,nontask,0,0,
images/raw/ambiguous/ambiguous_024.jpg,ambiguous,nontask,0,0,
images/raw/ambiguous/ambiguous_026.jpg,ambiguous,nontask,0,0,
images/raw/ambiguous/ambiguous_027.jpg,ambiguous,nontask,0,0,
images/raw/ambiguous/ambiguous_028.jpg,ambiguous,nontask,0,0,
images/raw/ambiguous/ambiguous_029.jpg,ambiguous,nontask,0,0,
images/raw/ambiguous/ambiguous_030.jpg,ambiguous,nontask,0,0,
images/raw/ambiguous/ambiguous_031.jpg,ambiguous,nontask,0,0,
images/raw/ambiguous/ambiguous_033.jpg,ambiguous,nontask,0,0,
images/raw/ambiguous/ambiguous_035.jpg,ambiguous,nontask,0,0,
images/raw/ambiguous/ambiguous_036.jpg,ambiguous,nontask,0,0,
images/raw/ambiguous/ambiguous_038.jpg,ambiguous,nontask,0,0,
images/raw/ambiguous/ambiguous_039.jpg,ambiguous,nontask,0,0,
images/raw/ambiguous/ambiguous_mv040.jpg,ambiguous,nontask,0,0,
images/raw/ambiguous/ambiguous_mv041.jpg,ambiguous,nontask,0,0,
images/raw/ambiguous/ambiguous_mv042.jpg,ambiguous,nontask,0,0,
images/raw/ambiguous/ambiguous_mv043.jpg,ambiguous,nontask,0,0,
images/raw/ambiguous/ambiguous_mv044.jpg,ambiguous,nontask,0,0,
images/raw/ambiguous/ambiguous_mv045.jpg,ambiguous,nontask,0,0,
images/raw/hazard/hazard_007.jpg,hazard,hazard,0,0,
images/raw/hazard/hazard_010.jpg,hazard,hazard,0,0,mixed_tree_wire
images/raw/hazard/hazard_011.jpg,hazard,hazard,0,0,mixed_tree_wire
images/raw/hazard/hazard_020.jpg,hazard,hazard,0,0,
images/raw/hazard/hazard_ov038.jpg,hazard,hazard,0,0,mixed_tree_wire
images/raw/hazard/hazard_ov039.jpg,hazard,hazard,0,0,mixed_tree_wire
images/raw/hazard/hazard_ov040.jpg,hazard,hazard,0,0,
images/raw/hazard/hazard_ov041.jpg,hazard,hazard,0,0,mixed_tree_wire
images/raw/hazard/hazard_ov043.jpg,hazard,hazard,0,0,
images/raw/hazard/hazard_ov044.jpg,hazard,hazard,0,0,
images/raw/hazard/hazard_ov201.jpg,trash,task,1,1,mixed_tree_wire
images/raw/hazard/hazard_ov205.jpg,hazard,hazard,0,0,
